1.97,1.97,artifice-dev,1,1581795904,8G,,995,99,460140,30,151722,17,1992,99,301667,23,12448,228,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10408us,167ms,275ms,10962us,4604us,71013us,14045us,571us,900us,1346us,72us,692us
1.97,1.97,artifice-dev,1,1581796237,8G,,974,99,474870,31,151918,17,1938,98,263497,20,14158,268,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12264us,143ms,921ms,10457us,101ms,64447us,115us,394us,269us,259us,82us,291us
1.97,1.97,artifice-dev,1,1581796063,8G,,986,98,202113,16,125208,14,1979,99,300753,22,13994,250,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12959us,1405ms,960ms,9688us,88642us,71511us,4622us,427us,687us,1775us,121us,876us
1.97,1.97,artifice-dev,1,1581794721,8G,,992,99,295813,22,124961,14,1993,99,304477,21,14197,233,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13648us,950ms,987ms,9675us,20223us,66061us,305us,292us,490us,666us,37us,368us
1.97,1.97,artifice-dev,1,1581794684,8G,,988,99,290908,22,124265,14,1975,99,298931,22,14559,233,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13226us,822ms,958ms,9242us,10267us,67458us,564us,381us,648us,688us,37us,38us
1.97,1.97,artifice-dev,1,1581794493,8G,,976,99,295415,23,134361,15,1975,99,290614,20,14132,256,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13810us,2220ms,615ms,15067us,337ms,69922us,279us,389us,546us,224us,63us,685us
1.97,1.97,artifice-dev,1,1581795306,8G,,990,99,286849,22,116834,13,1976,99,298147,20,14166,247,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13023us,389ms,939ms,9109us,36482us,67178us,498us,381us,965us,41us,48us,31us
1.97,1.97,artifice-dev,1,1581794335,8G,,980,99,366705,27,124305,14,1991,99,302293,22,14424,253,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13552us,883ms,977ms,8502us,9243us,64639us,711us,356us,464us,395us,75us,918us
1.97,1.97,artifice-dev,1,1581794481,8G,,989,99,291612,21,129671,14,1976,99,296140,22,14032,263,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13262us,1629ms,914ms,11339us,21127us,69809us,42us,1053us,555us,883us,46us,833us
1.97,1.97,artifice-dev,1,1581794778,8G,,994,99,270446,21,129500,15,1989,99,304574,21,13974,252,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,17978us,881ms,918ms,8794us,6895us,69314us,419us,421us,518us,872us,79us,103us
1.97,1.97,artifice-dev,1,1581794685,8G,,982,99,290664,22,137089,15,1968,99,296051,21,6736,124,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14166us,1234ms,957ms,14369us,20524us,146ms,406us,394us,264us,452us,329us,36us
1.97,1.97,artifice-dev,1,1581793944,8G,,976,99,307621,24,128976,15,1966,99,301427,22,13961,247,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13752us,1379ms,927ms,10156us,3983us,69701us,744us,446us,691us,56us,36us,591us
1.97,1.97,artifice-dev,1,1581793794,8G,,988,99,355343,27,141424,16,1966,99,299687,22,13911,262,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11054us,1264ms,923ms,13203us,4216us,68810us,423us,411us,660us,380us,62us,353us
1.97,1.97,artifice-dev,1,1581794215,8G,,983,99,244912,18,129948,15,1973,99,300039,22,14256,234,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12034us,1347ms,906ms,9361us,11458us,69371us,549us,458us,691us,556us,35us,684us
1.97,1.97,artifice-dev,1,1581793989,8G,,990,99,358371,26,125968,14,1987,99,300064,22,14022,260,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11957us,1341ms,942ms,10107us,88806us,69612us,955us,391us,1030us,555us,128us,444us
1.97,1.97,artifice-dev,1,1581793632,8G,,987,99,353710,26,129210,14,1992,99,301737,23,13990,249,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14636us,1562ms,905ms,8909us,13548us,70222us,194us,334us,672us,428us,55us,794us
1.97,1.97,artifice-dev,1,1581793692,8G,,993,99,348933,26,124345,14,1966,99,298833,21,13880,240,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13384us,874ms,893ms,9581us,10895us,70945us,286us,420us,612us,67us,43us,269us
1.97,1.97,artifice-dev,1,1581793283,8G,,981,99,296128,22,142270,16,1945,99,300756,23,13957,261,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10128us,1008ms,841ms,12359us,9122us,69797us,674us,432us,704us,2093us,34us,52us
1.97,1.97,artifice-dev,1,1581793465,8G,,973,99,284069,22,125857,14,1958,99,301091,22,14034,246,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13273us,1417ms,882ms,11437us,4353us,70055us,918us,439us,289us,97us,77us,868us
1.97,1.97,artifice-dev,1,1581801250,8G,,979,99,294229,21,139483,16,1991,99,299706,22,+++++,+++,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10976us,1577ms,996ms,11016us,7647us,68485us,475us,478us,561us,677us,38us,648us
1.97,1.97,artifice-dev,1,1581801301,8G,,989,99,248315,18,112661,12,1965,99,305344,21,14188,257,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13438us,2318ms,1005ms,8635us,20239us,67852us,590us,406us,1137us,945us,41us,452us
1.97,1.97,artifice-dev,1,1581801208,8G,,989,99,368743,26,136907,15,1990,99,305024,21,13958,256,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11183us,1105ms,917ms,10297us,40148us,70074us,597us,334us,261us,283us,102us,80us
1.97,1.97,artifice-dev,1,1581801068,8G,,993,99,289899,22,126610,14,1975,99,300991,22,14372,236,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10516us,1428ms,989ms,9489us,9324us,69293us,568us,411us,555us,52us,32us,1080us
1.97,1.97,artifice-dev,1,1581800926,8G,,999,99,177803,12,117830,13,1975,99,301789,23,13956,261,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11595us,4121ms,929ms,9557us,9490us,70267us,81us,504us,853us,122us,54us,95us
1.97,1.97,artifice-dev,1,1581800766,8G,,965,98,298731,22,132893,15,1972,99,301111,21,14224,251,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13718us,822ms,885ms,9565us,21873us,67553us,592us,384us,377us,89us,38us,801us
1.97,1.97,artifice-dev,1,1581800603,8G,,939,94,279706,22,125222,14,1982,99,304454,21,13820,251,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13853us,740ms,902ms,10392us,89057us,66917us,406us,376us,477us,183us,131us,1210us
